Artist ID,Artist Name,Track ID,Track Name,Popularity Score
5qa31A9HySw3T7MKWI9bGg,FLETCHER,5SHhPFh68OhUmuRPymKX9d,Undrunk,86
6LuN9FCkKOj5PcnpouEgny,Khalid,1fHRzxbts9A8J1ergDe7Kz,Saturday Nights,75
6LuN9FCkKOj5PcnpouEgny,Khalid,78P2cNBhbdjXWIRYuEXkV6,Don't Pretend,76
64KEffDW9EtZ1y2vBYgq8T,Marshmello,6GSkLS2y4ZnnZsuRAj975K,Project Dreams,85
1pPmIToKXyGdsCF6LmqLmI,Rich The Kid,3KLo7ByvjCNyBrfz5DZ2mO,Splashin,83
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,0i0wnv9UoFdZ5MfuFGQzMy,Last Hurrah,89
2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,0NJp8GyCOWnQh71xKSPfuV,Freaky,85
6AgTAQt8XS6jRWi4sX7w49,Polo G,5AjINjwKyRvQJhSe2zpPHi,Pop Out (feat. Lil TJay),83
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,4mUIe9gfsdtsVP2zFIl74x,Maze,83
7meyrw7Or5DwteYxDJrkCM,YK Osiris,4XiGKQqbmnMVxDzUj6j3f2,Worth It,83
3Fl1V19tmjt57oBdxXKAjJ,Blueface,67fNrBUMc7iWMofdCaoJV9,Bleed It,82
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,2vdBo4ALPYbHRUPKgtE5iC,ghostin,85
0ErzCpIMyLcjPiwT4elrtZ,NLE Choppa,4dAMdQ6g4kGmnc1MDHsg77,Shotta Flow,81
5IcR3N7QB1j6KBL8eImZ8m,ScHoolboy Q,4dTiQezDWmEOWcdCbWVWMp,Numb Numb Juice,83
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,3LgWsmilsrWXiPYQFRD0T7,goodbye,85
1KCSPY1glIKqW2TotWuXOR,P!nk,7DHApOHsIFo7EyfieArYGE,Walk Me Home,89
1RyvyyTE3xzB2ZywiAwp0i,Future,3WRIaWsws011vHMd9uzPjG,First Off (feat. Travis Scott),83
246dkjvS1zLTtiykXe5h60,Post Malone,0fcq51a3gOI6gPvzc0YLsk,Wow. - Remix,84
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,2Jh3UqxnHJMyzMzku4uOtE,Feeling,81
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,73a7QCttEiEy9ZVKw8GrXe,MONOPOLY (with Victoria Monét),47
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,2BSbCCbaSCzkOEZa6N5901,Flaws And Sins,81
6Ad91Jof8Niiw0lGLLi3NW,YUNGBLUD,4mGdjNMo0RonTlOEb7cYg4,11 Minutes (with Halsey feat. Travis Barker),86
2kCcBybjl3SAtIcwdWpUe3,Lil Peep,2v5JTeM6hSmi5wWy7jiwrI,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),84
1RyvyyTE3xzB2ZywiAwp0i,Future,7wcyO1rrH3Ru4t659IjG41,Crushed Up,82
4xRYI6VqpkE3UwrDrAZL8L,Logic,5CE0V7z1ePOZQNJNpWxYGA,Confessions of a Dangerous Mind,82
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,27356GVuMPFWiJSZCragoM,make up,83
