Artist Name,Track Name,Genre,Popularity Score
Young Dolph,By Mistake (Remix) (feat. Juicy J & Project Pat),pop rap,52
Young Dolph,By Mistake (Remix) (feat. Juicy J & Project Pat),rap,52
Young Dolph,By Mistake (Remix) (feat. Juicy J & Project Pat),southern hip hop,52
Young Dolph,By Mistake (Remix) (feat. Juicy J & Project Pat),trap music,52
Hopsin,The Old Us,conscious hip hop,65
Hopsin,The Old Us,gangster rap,65
Hopsin,The Old Us,hip hop,65
Hopsin,The Old Us,pop rap,65
Hopsin,The Old Us,rap,65
Thomas Rhett,Whatcha Got In That Cup,contemporary country,0
Thomas Rhett,Whatcha Got In That Cup,country,0
Thomas Rhett,Whatcha Got In That Cup,country road,0
Thomas Rhett,Whatcha Got In That Cup,modern country rock,0
Thomas Rhett,Sorry For Partyin',contemporary country,0
Thomas Rhett,Sorry For Partyin',country,0
Thomas Rhett,Sorry For Partyin',country road,0
Thomas Rhett,Sorry For Partyin',modern country rock,0
Thomas Rhett,Drink A Little Beer,contemporary country,0
Thomas Rhett,Drink A Little Beer,country,0
Thomas Rhett,Drink A Little Beer,country road,0
Thomas Rhett,Drink A Little Beer,modern country rock,0
Thomas Rhett,Don’t Threaten Me With A Good Time,contemporary country,0
Thomas Rhett,Don’t Threaten Me With A Good Time,country,0
Thomas Rhett,Don’t Threaten Me With A Good Time,country road,0
Thomas Rhett,Don’t Threaten Me With A Good Time,modern country rock,0
Jake Owen,River Of Time,contemporary country,53
Jake Owen,River Of Time,country,53
Jake Owen,River Of Time,country pop,53
Jake Owen,River Of Time,country road,53
Jake Owen,River Of Time,modern country rock,53
Midland,Mr. Lonely,neo-traditional country,61
Bryant Myers,Ganas Sobran,latin,80
Bryant Myers,Ganas Sobran,reggaeton flow,80
Bryant Myers,Ganas Sobran,trap latino,80
Bryant Myers,Ganas Sobran,tropical,80
Maxo Kream,Meet Again,houston rap,62
Maxo Kream,Meet Again,rap,62
Maxo Kream,Meet Again,southern hip hop,62
Maxo Kream,Meet Again,trap music,62
Maxo Kream,Meet Again,underground hip hop,62
Maxo Kream,Meet Again,vapor trap,62
Solange,We Deal With the Freak'n (intermission),alternative r&b,64
Solange,We Deal With the Freak'n (intermission),hip pop,64
Solange,We Deal With the Freak'n (intermission),neo soul,64
Solange,We Deal With the Freak'n (intermission),pop,64
